brand,name,price_usd,price_bdt,image_url,socket,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,has_integrated_graphics
AMD,AMD Ryzen 3 3200G,,,,AM4,4,3.6,4.0,Zen+,65,Radeon Vega 8,True
AMD,AMD Ryzen 5 3400G,,,,AM4,4,3.7,4.2,Zen+,65,Radeon Vega 11,True
Intel,Intel Core i3-12100T,,,,LGA1700,4,2.2,4.1,Alder Lake,35,Intel UHD Graphics 730,True
AMD,AMD Ryzen 3 1300X,,,,AM4,4,3.5,3.7,Zen,65,,False
Intel,Intel Core i5-10600,529.95,71543.25,,LGA1200,6,3.3,4.8,Comet Lake,65,Intel UHD Graphics 630,True
Intel,Intel Core i9-10920X,769.87,103932.45,,LGA1200,12,3.5,4.8,Cascade Lake,165,,False
Intel,Intel Core i9-13900T,,,,LGA1700,24,1.1,5.3,Raptor Lake,35,Intel UHD Graphics 770,True
AMD,AMD Ryzen 7 3800X,,,,AM4,8,3.9,4.5,Zen 2,105,,False
Intel,Intel Core i9-11900,390.99,52783.65,,LGA1200,8,2.5,5.2,Rocket Lake,65,Intel UHD Graphics 750,True
Intel,Intel 300,105.36,14223.6,,LGA1700,2,3.9,,Raptor Lake Refresh,46,Intel UHD Graphics 710,True
AMD,AMD Ryzen 5 2600X,,,,AM4,6,3.6,4.2,Zen+,95,,False
AMD,AMD Ryzen 5 3600X,,,,AM4,6,3.8,4.4,Zen 2,95,,False
AMD,AMD Ryzen 5 3600,,,,AM4,6,3.6,4.2,Zen 2,65,,False
AMD,AMD Ryzen 3 1200 (12nm),70.0,9450.0,,AM4,4,3.1,3.4,Zen+,65,,False
AMD,AMD Ryzen 5 5600T,,,,AM4,6,3.5,4.5,Zen 3,65,,False
AMD,AMD Ryzen 5 2400G,,,,AM4,4,3.6,3.9,Zen,65,Radeon Vega 11,True
Intel,Intel Core i7-13700T,,,,LGA1700,16,1.4,4.9,Raptor Lake,35,,False
AMD,AMD Ryzen 9 3900,,,,AM4,12,3.1,,Zen 2,65,,False
AMD,AMD Ryzen 5 PRO 7645,,,,AM5,6,3.8,5.1,Zen 4,65,Radeon,True
Intel,Intel Core i9-10940X,699.99,94498.65,,LGA1200,14,3.3,4.8,Cascade Lake,165,,False
Intel,Intel Core i5-13600,,,,LGA1700,14,2.7,5.0,Raptor Lake,65,Intel UHD Graphics 770,True
AMD,AMD Ryzen 7 PRO 7745,,,,AM5,8,3.8,5.3,Zen 4,65,Radeon,True
AMD,AMD Ryzen 7 1700X,,,,AM4,8,3.4,3.8,Zen,95,,False
Intel,Intel Core i3-10100T,,,,LGA1200,4,3.0,3.8,Comet Lake,35,Intel UHD Graphics 630,True
Intel,Intel Core i3-13100T,,,,LGA1700,4,2.5,4.2,Raptor Lake,35,Intel UHD Graphics 730,True
