brand,name,price_usd,price_bdt,image_url,capacity_gb,form_factor,interface,cache_mb,price_per_gb
Intel,Intel D3-S4620,398.0,53730.0,,1920,2.5,SATA 6.0 Gb/s,,0.207
Intel,Intel D3-S4520,141.0,19035.0,,240,M.2-2280,M.2 SATA,,0.588
Inland,Inland TN446,82.99,11203.65,,1000,M.2-2230,M.2 PCIe 4.0 X4,,0.083
VisionTek,VisionTek DLX4 Pro,116.78,15765.3,,1000,M.2-2280,M.2 PCIe 4.0 X4,,0.117
Oyen,Oyen Digital E13S-2242-1024PH,89.0,12015.0,,1000,M.2-2242,M.2 PCIe 3.0 X4,,0.089
VisionTek,VisionTek DLX4,66.98,9042.3,,512,M.2-2230,M.2 PCIe 4.0 X4,,0.131
VisionTek,VisionTek DLX4,119.32,16108.2,,1000,M.2-2230,M.2 PCIe 4.0 X4,,0.119
Western Digital,Western Digital WD Green,47.0,6345.0,,120,M.2-2280,M.2 SATA,,0.392
OWC,OWC Mercury Electra 6G,26.99,3643.65,,250,2.5,SATA 6.0 Gb/s,,0.108
Lenovo,Lenovo S4520,479.68,64756.8,,480,2.5,SATA 6.0 Gb/s,,0.999
Lenovo,Lenovo S4520,350.83,47362.05,,960,2.5,SATA 6.0 Gb/s,,0.365
Addlink,Addlink D60,239.44,32324.4,,1920,M.2-2280,M.2 PCIe 4.0 X4,,0.125
OWC,OWC Aura Pro IV,324.99,43873.65,,4000,M.2-2280,M.2 PCIe 4.0 X4,,0.081
Transcend,Transcend MTE410S,47.21,6373.35,,256,M.2-2242,M.2 PCIe 4.0 X4,,0.184
Transcend,Transcend MTE410S,169.9,22936.5,,2000,M.2-2242,M.2 PCIe 4.0 X4,,0.085
