brand,name,price_usd,price_bdt,image_url,wattage,efficiency_rating,modular,form_factor,color
SeaSonic,SeaSonic Focus GX V4 ATX 3 (2024),114.74,15489.9,,750,gold,Full,ATX,White
FSP,FSP Group Hydro GE,84.99,11473.65,,650,gold,Full,ATX,
Corsair,Corsair RM1000e (2022),265.0,35775.0,,1000,gold,Full,ATX,Black
Apevia,Apevia ATX-PR850W PCIE5.0,74.98,10122.3,,850,gold,false,ATX,Black
Gigabyte,Gigabyte UD850GM-A PG5,119.99,16198.65,,850,gold,Full,ATX,Black
GameMax,GameMax GX Pro Rampage,159.99,21598.65,,1050,platinum,Full,ATX,White
SeaSonic,SeaSonic FOCUS GX-750 ATX 3.0,154.0,20790.0,,750,gold,Full,ATX,Black
ASRock,ASRock Challenger CL-650B,62.99,8503.65,,650,bronze,false,ATX,Black
Thermaltake,Thermaltake Toughpower GF A3 - TT Premium Edition,159.99,21598.65,,1200,gold,Full,ATX,Black
Thermaltake,Thermaltake Toughpower GF3 TT Premium,167.99,22678.65,,1350,gold,Full,ATX,Black
Super Flower,Super Flower LEADEX VII XG,229.99,31048.65,,1300,gold,Full,ATX,Black
Asus,Asus ROG Strix Aura Edition,204.24,27572.4,,1000,gold,Full,ATX,Black
SeaSonic,SeaSonic FOCUS GX,150.41,20305.35,,650,gold,Full,ATX,Black
Azza,Azza PSAZ-650W,59.99,8098.65,,650,bronze,false,ATX,Black
Cooler Master,Cooler Master V1300 Platinum,391.9,52906.5,,1300,platinum,Full,ATX,Black
be quiet!,be quiet! Straight Power 12,172.99,23353.65,,750,platinum,Full,ATX,Black
Thermaltake,Thermaltake Toughpower GF A3 - TT Premium Edition,109.99,14848.65,,750,gold,Full,ATX,Black
ASRock,ASRock Phantom Gaming PG-1000G,149.99,20248.65,,1000,gold,Full,ATX,Black
Corsair,Corsair CX450M (2015),119.99,16198.65,,450,bronze,Semi,ATX,
Razer,Razer Katana Chroma,119.99,16198.65,,850,platinum,Full,ATX,Black
Azza,Azza PSAZ-750W,74.98,10122.3,,750,bronze,false,ATX,Black
ASRock,ASRock Steel Legend SL-650G,97.99,13228.65,,650,gold,Full,ATX,Black
ENDORFY,ENDORFY Vero L5,99.82,13475.7,,600,bronze,false,ATX,Black
GAMDIAS,GAMDIAS KRATOS M1 B,64.98,8772.3,,750,bronze,false,ATX,Black
Asus,Asus TUF Gaming B,84.99,11473.65,,550,bronze,false,ATX,Black
EVGA,EVGA 650 BQ,146.03,19714.05,,650,bronze,Semi,ATX,
Corsair,Corsair RM850x (2018),407.0,54945.0,,850,gold,Full,ATX,White / Black
Super Flower,Super Flower Leadex III Gold UP,179.99,24298.65,,1300,gold,Full,ATX,Black
Silverstone,Silverstone Zeus 1650R,557.45,75255.75,,1650,titanium,Full,ATX,
